organizationName,organizationNames,description,location,startsOn,endsOn,categoryNames
Phi Eta Sigma National Honor Society ,[],"<p>📢 Announcement 📢<br /><br />Want to learn more about Phi Eta Sigma💛? Want to get to know the E-Board? Graduating this semester and need extra points to get your PES Grad Cord🎓? Then make sure to visit our table at the Student Union September 25th, October 9th, October 30th, and November 13th✨️<br /><br />If you stop by our table at the Student Union, you will recieve 0.5 point! So this is a great opportunity to get those extra points if you need them‼️<br />.</p>",Student Union Patio,2025-10-09 16:00:00+00:00,2025-10-09 20:00:00+00:00,[]
ReliefShare @ UCF,[],"<p>&nbsp;</p>
<p data-start=""118"" data-end=""576"">Join <strong data-start=""148"" data-end=""170"">Relief Share @ UCF</strong> for our <strong data-start=""179"" data-end=""234"">2nd General Body Meeting: Medical Supplies Sorting!</strong><br data-start=""234"" data-end=""237"" />At this hands-on event, members will learn how to sort, scan, and package surplus medical supplies that will be repurposed for hospitals and clinics in underserved communities around the world. This is a great opportunity to make a tangible impact, meet fellow members, and gain experience in humanitarian outreach and medical logistics.</p>
<p data-start=""578"" data-end=""694"">🩺 <strong data-start=""581"" data-end=""590"">When:</strong> October 9, 2025 | 4:00&ndash;6:00 PM<br data-start=""621"" data-end=""624"" />📍 <strong data-start=""627"" data-end=""637"">Where:</strong> Student Union 223<br data-start=""655"" data-end=""658"" />💙 <strong data-start=""661"" data-end=""675"">Follow us on Instagram:</strong> @reliefshare.ucf</p>",Student Union 223,2025-10-09 20:00:00+00:00,2025-10-09 22:00:00+00:00,['Community Service']
GenCLEO@UCF,[],"<section class=""css-1w2p18d ef8693v3"">
<div class=""css-1ewqap6 ef8693v1"">
<div class=""css-xtvjy3"">
<div class=""css-1njhs7w et84t5r0"">
<div id=""collapseEventDetail-description"" class=""css-gygapm ejb1rhe1"">
<div>
<p></p>
<p data-start=""119"" data-end=""163"">🌎 <strong data-start=""122"" data-end=""158"">GenCLEO Action Weekly Phonebanks</strong> 🌎</p>
<p data-start=""165"" data-end=""417"">Join us every Monday and Thursday from 5:00&ndash;6:00 PM for our recurring virtual phonebanks! Together, we&rsquo;ll be reaching out to voters in Districts 1 and 3 to share who GenCLEO Action is endorsing as a Climate Champion in this upcoming election.</p>
<p data-start=""419"" data-end=""570"">This is a great way to earn service hours, build advocacy skills, and take action for the future of our planet&mdash;all from the comfort of your home!</p>
<p data-start=""572"" data-end=""659"">📅 <strong data-start=""575"" data-end=""584"">When:</strong> Every Monday &amp; Thursday, 5:00&ndash;6:00 PM<br data-start=""622"" data-end=""625"" />💻 <strong data-start=""628"" data-end=""638"">Where:</strong> Virtually via Zoom</p>
<p data-start=""661"" data-end=""683"">👉 <strong data-start=""664"" data-end=""681"">Sign up here:</strong></p>
<ul data-start=""684"" data-end=""737"">
<li data-start=""684"" data-end=""709"">
<p data-start=""686"" data-end=""709""><a class=""decorated-link"" rel=""noopener"" data-start=""686"" data-end=""707"">Monday Phonebanks</a></p>
</li>
<li data-start=""710"" data-end=""737"">
<p data-start=""712"" data-end=""737""><a class=""decorated-link"" rel=""noopener"" data-start=""712"" data-end=""735"">Thursday Phonebanks</a></p>
</li>
</ul>
<p data-start=""739"" data-end=""805"">⭐ Earn <strong data-start=""746"" data-end=""764"">1 service hour</strong> for each phonebank session you attend!</p>
<hr data-start=""807"" data-end=""812"" />
<p data-start=""814"" data-end=""846"">📲 <strong data-start=""817"" data-end=""844"">Stay connected with us!</strong></p>
<ul data-start=""847"" data-end=""988"">
<li data-start=""847"" data-end=""922"">
<p data-start=""849"" data-end=""922"">Join our Discord: <a class=""decorated-link"" href=""https://discord.gg/eJraz8rP?event=1420214346604089445"" target=""_new"" rel=""noopener"" data-start=""867"" data-end=""920"">https://discord.gg/eJraz8rP?event=1420214346604089445</a></p>
</li>
<li data-start=""923"" data-end=""988"">
<p data-start=""925"" data-end=""988"">Follow us on Instagram: <a class=""decorated-link"" href=""https://www.instagram.com/gencleo_ucf"" target=""_new"" rel=""noopener"" data-start=""949"" data-end=""986"">https://www.instagram.com/gencleo_ucf</a></p>
</li>
</ul>
</div>
</div>
</div>
</div>
</div>
</section>",Online,2025-10-09 21:00:00+00:00,2025-10-09 22:00:00+00:00,['Community Service']
Amateur Radio Club at UCF,[],"<p>Come on up to ARC's radio shack and talk about ham radio! End time is extremely variable, but there is no requirement for arriving on-time or sticking around for the full length. Typically the earliest we'll leave is 7:00 but we usually run much later. So come swing by, talk about antennas, interesting projects, getting licensed, whatever you're interested in!<br /><br />Location:<br />We're located in the back of the senior design lab, Engineering 1 Room 456a. The door should be propped open but if it isn't please say something on discord.<br /><br />Previous minutes are available here:<br />http://newton.i2lab.ucf.edu/wiki/Category:ARC_minutes_2025<br /><br />Also feel free to chat with us on Discord!<br />https://discord.gg/Ua6CU4Rhtw</p>",Engineering 1 Room 456a,2025-10-09 21:30:00+00:00,2025-10-09 22:30:00+00:00,[]
Society of Environmental Engineers,[],"<p>Pub subs and snacks will be catered! Kimley Horn engineers Enrique Sara (Surface water) and Julia Felter (W/WW) will be presenting about the company, projects they've worked on, and opportunities with the firm. The college recruiter, Adam Kalson will also be in attendance!!! This is a great opportunity to network if you'd potentially like to explore an internship with them over the summer, or a full-time position when you graduate.&nbsp;</p>",NSC room 117,2025-10-09 22:00:00+00:00,2025-10-09 23:00:00+00:00,[]
Knighthawk Audubon,[],"<div class=""left col"" data-v-b4d7b320="""">
<div class=""event-logo block"" data-v-b4d7b320=""""><form class=""qr"" name=""qrForm"" data-v-eb7f6dd8="""" data-v-b4d7b320="""">
<div class=""hint"" data-v-eb7f6dd8="""">Join us at the Wekiva Pavilion at Lake Claire on October 9th from 6:30-7:30 to make enrichment for the raptors at the Center for Birds of Prey!</div>
<div class=""hint"" data-v-eb7f6dd8="""">&nbsp;</div>
<div class=""hint"" data-v-eb7f6dd8="""">If they&rsquo;re available to you, bring some toilet paper/paper towel rolls, tissues boxes (plastic removed), or tissue/printer paper.</div>
<div class=""hint"" data-v-eb7f6dd8="""">&nbsp;</div>
<div class=""hint"" data-v-eb7f6dd8="""">If not, no worries! We will provide both materials and instruction.</div>
</form></div>
</div>",Lake Claire Wekiva Pavilion,2025-10-09 22:30:00+00:00,2025-10-09 23:30:00+00:00,['Community Service']
International City/County Management Association,[],"<p>&nbsp;</p>
<p data-start=""169"" data-end=""478"">Join the UCF ICMA Student Chapter for our <strong data-start=""230"" data-end=""260"">First General Body Meeting</strong>! 🎉 Meet our newly elected officer team, learn more about the International City/County Management Association (ICMA), and discover opportunities for professional development, networking, and community service.</p>
<p data-start=""480"" data-end=""826"">We&rsquo;ll also share details about the upcoming <strong data-start=""524"" data-end=""552"">ICMA National Conference in Tampa, October 25th-28th</strong>&nbsp;(free for student members!) and how you can get involved this semester. Whether you&rsquo;re interested in local government leadership, public administration, or want to connect with fellow students passionate about public service, this is the perfect time to get started!</p>
<p data-start=""828"" data-end=""933"">📅 <strong data-start=""831"" data-end=""840"">Date:</strong> Thursday, October 9, 2025<br data-start=""866"" data-end=""869"" />🕡 <strong data-start=""872"" data-end=""881"">Time:</strong> 6:30 PM<br data-start=""889"" data-end=""892"" />📍 <strong data-start=""895"" data-end=""908"">Location:</strong>&nbsp;Microsoft Teams</p>
<p data-start=""935"" data-end=""1106"">✨ Don&rsquo;t forget to bring your questions and ideas! A sign-up sheet will be available for those interested in attending the ICMA Conference and joining chapter activities.</p>",Online,2025-10-09 22:30:00+00:00,2025-10-09 23:30:00+00:00,['Community Service']
Girls Who Code at UCF,[],"<p>🎲 Join us for a fun-filled Game Night Social where you can relax, play games, and connect with your fellow members! 💙 It's the perfect way to unwind, share some laughs, and build community. 🧩 Plus, don&rsquo;t miss the exciting Big-Little Revea! 🎉</p>
<p class=""p1""><span class=""s1"">The <strong>l</strong></span><span class=""s2""><strong>ocation</strong> and <strong>time</strong> <strong>TBD</strong></span><span class=""s1""> so follow our Instagram and join our Discord to stay in the loop and get live updates!</span></p>
<p class=""p2""><span class=""s3"">Discord: </span>https://discord.gg/NWB3kurgBN</p>
<p class=""p2"">Instagram: https://www.instagram.com/girlswhocodeucf/</p>",UCF,2025-10-09 22:30:00+00:00,2025-10-09 23:30:00+00:00,[]
Women in Electrical Engineering and Computer Science,[],"<p>Join us for a hands-on soldering workshop where you&rsquo;ll build your own &ldquo;Social Battery&rdquo; USB badge!&nbsp;Participants will learn the basics of soldering through-hole components (LEDs, resistors, and slide switches) and assemble a simple, working PCB that lights up to match your mood. This beginner-friendly session is perfect if you&rsquo;ve never soldered before, you&rsquo;ll leave with a cute, personalized electronic keepsake you made yourself!</p>
<p>What you&rsquo;ll need: Just bring yourself, we&rsquo;ll provide all materials and tools.</p>
<p><strong>Date: October 9th, 6:00 PM &ndash; 8:00 PM </strong><br /><strong>Location: TI Lab, UCF</strong><br /><strong>Spots: Limited to 10 participants</strong></p>
<p>Sign Up Here: <a href=""https://forms.gle/D8pMSrWJLmsBiGmF7"">https://forms.gle/D8pMSrWJLmsBiGmF7</a><br />A confirmation email will be sent to those selected to attend.</p>",Texas Instruments Lab at UCF,2025-10-09 22:00:00+00:00,2025-10-10 00:00:00+00:00,[]
Baptist Collegiate Ministries,[],<p>Join us for an awesome time of fellowship and worship! We can't wait to see you all there!</p>,"Cape Florida Ballroom, Student Union",2025-10-09 23:30:00+00:00,2025-10-10 01:15:00+00:00,[]
